userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.22,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.22,5
userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
1,RAYCASTING,ObjectCategory_1_Number_9,2.129023,45.46,12
1,RAYCASTING,ObjectCategory_9_Number_17,45.46,47.12,9
1,RAYCASTING,ObjectCategory_4_Number_30,47.12,49.72,7
1,RAYCASTING,ObjectCategory_5_Number_83,49.72,51,7
1,RAYCASTING,ObjectCategory_6_Number_48,51,55.54,30
1,RAYCASTING,ObjectCategory_4_Number_35,55.54,59,9
1,RAYCASTING,ObjectCategory_2_Number_67,59,93.66,31
1,RAYCASTING,ObjectCategory_2_Number_27,93.66,114,5
1,RAYCASTING,ObjectCategory_5_Number_47,114,115.88,10
1,RAYCASTING,ObjectCategory_9_Number_6,115.88,119.16,8
1,RAYCASTING,ObjectCategory_0_Number_61,119.16,120.14,2
1,RAYCASTING,ObjectCategory_3_Number_104,120.14,210.62,572
1,RAYCASTING,ObjectCategory_5_Number_115,210.62,233.1,37
1,RAYCASTING,ObjectCategory_7_Number_72,233.1,236.74,9
1,RAYCASTING,ObjectCategory_5_Number_44,236.74,242.74,8
1,RAYCASTING,ObjectCategory_8_Number_57,242.74,253,20
1,RAYCASTING,ObjectCategory_3_Number_104,253,270.92,39
1,RAYCASTING,ObjectCategory_2_Number_65,270.92,271.82,7
1,RAYCASTING,ObjectCategory_0_Number_76,271.82,273.08,7
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.24,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.24,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.24,5
userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
1,RAYCASTING,ObjectCategory_1_Number_9,2.129023,45.46,12
1,RAYCASTING,ObjectCategory_9_Number_17,45.46,47.12,9
1,RAYCASTING,ObjectCategory_4_Number_30,47.12,49.72,7
1,RAYCASTING,ObjectCategory_5_Number_83,49.72,51,7
1,RAYCASTING,ObjectCategory_6_Number_48,51,55.54,30
1,RAYCASTING,ObjectCategory_4_Number_35,55.54,59,9
1,RAYCASTING,ObjectCategory_2_Number_67,59,93.66,31
1,RAYCASTING,ObjectCategory_2_Number_27,93.66,114,5
1,RAYCASTING,ObjectCategory_5_Number_47,114,115.88,10
1,RAYCASTING,ObjectCategory_9_Number_6,115.88,119.16,8
1,RAYCASTING,ObjectCategory_0_Number_61,119.16,120.14,2
1,RAYCASTING,ObjectCategory_3_Number_104,120.14,210.62,572
1,RAYCASTING,ObjectCategory_5_Number_115,210.62,233.1,37
1,RAYCASTING,ObjectCategory_7_Number_72,233.1,236.74,9
1,RAYCASTING,ObjectCategory_5_Number_44,236.74,242.74,8
1,RAYCASTING,ObjectCategory_8_Number_57,242.74,253,20
1,RAYCASTING,ObjectCategory_3_Number_104,253,270.92,39
1,RAYCASTING,ObjectCategory_2_Number_65,270.92,271.82,7
1,RAYCASTING,ObjectCategory_0_Number_76,271.82,273.08,7
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.26,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.26,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.26,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.26,5
userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
1,RAYCASTING,ObjectCategory_1_Number_9,2.129023,45.46,12
1,RAYCASTING,ObjectCategory_9_Number_17,45.46,47.12,9
1,RAYCASTING,ObjectCategory_4_Number_30,47.12,49.72,7
1,RAYCASTING,ObjectCategory_5_Number_83,49.72,51,7
1,RAYCASTING,ObjectCategory_6_Number_48,51,55.54,30
1,RAYCASTING,ObjectCategory_4_Number_35,55.54,59,9
1,RAYCASTING,ObjectCategory_2_Number_67,59,93.66,31
1,RAYCASTING,ObjectCategory_2_Number_27,93.66,114,5
1,RAYCASTING,ObjectCategory_5_Number_47,114,115.88,10
1,RAYCASTING,ObjectCategory_9_Number_6,115.88,119.16,8
1,RAYCASTING,ObjectCategory_0_Number_61,119.16,120.14,2
1,RAYCASTING,ObjectCategory_3_Number_104,120.14,210.62,572
1,RAYCASTING,ObjectCategory_5_Number_115,210.62,233.1,37
1,RAYCASTING,ObjectCategory_7_Number_72,233.1,236.74,9
1,RAYCASTING,ObjectCategory_5_Number_44,236.74,242.74,8
1,RAYCASTING,ObjectCategory_8_Number_57,242.74,253,20
1,RAYCASTING,ObjectCategory_3_Number_104,253,270.92,39
1,RAYCASTING,ObjectCategory_2_Number_65,270.92,271.82,7
1,RAYCASTING,ObjectCategory_0_Number_76,271.82,273.08,7
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.28,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.28,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.28,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.28,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.28,5
userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
1,RAYCASTING,ObjectCategory_1_Number_9,2.129023,45.46,12
1,RAYCASTING,ObjectCategory_9_Number_17,45.46,47.12,9
1,RAYCASTING,ObjectCategory_4_Number_30,47.12,49.72,7
1,RAYCASTING,ObjectCategory_5_Number_83,49.72,51,7
1,RAYCASTING,ObjectCategory_6_Number_48,51,55.54,30
1,RAYCASTING,ObjectCategory_4_Number_35,55.54,59,9
1,RAYCASTING,ObjectCategory_2_Number_67,59,93.66,31
1,RAYCASTING,ObjectCategory_2_Number_27,93.66,114,5
1,RAYCASTING,ObjectCategory_5_Number_47,114,115.88,10
1,RAYCASTING,ObjectCategory_9_Number_6,115.88,119.16,8
1,RAYCASTING,ObjectCategory_0_Number_61,119.16,120.14,2
1,RAYCASTING,ObjectCategory_3_Number_104,120.14,210.62,572
1,RAYCASTING,ObjectCategory_5_Number_115,210.62,233.1,37
1,RAYCASTING,ObjectCategory_7_Number_72,233.1,236.74,9
1,RAYCASTING,ObjectCategory_5_Number_44,236.74,242.74,8
1,RAYCASTING,ObjectCategory_8_Number_57,242.74,253,20
1,RAYCASTING,ObjectCategory_3_Number_104,253,270.92,39
1,RAYCASTING,ObjectCategory_2_Number_65,270.92,271.82,7
1,RAYCASTING,ObjectCategory_0_Number_76,271.82,273.08,7
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.3,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.3,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.3,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.3,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.3,5
1,RAYCASTING,ObjectCategory_2_Number_65,273.08,274.3,5
