userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
0,RAYCASTING,ObjectCategory_1_Number_9,2.055856,15.72,9
0,RAYCASTING,ObjectCategory_9_Number_17,15.72,17.44,1
0,RAYCASTING,ObjectCategory_4_Number_30,17.44,19.74,6
0,RAYCASTING,ObjectCategory_5_Number_83,19.74,20.98,7
0,RAYCASTING,ObjectCategory_6_Number_48,20.98,26.22,8
0,RAYCASTING,ObjectCategory_4_Number_35,26.22,29.94,9
0,RAYCASTING,ObjectCategory_2_Number_67,29.94,46.7,39
0,RAYCASTING,ObjectCategory_2_Number_27,46.7,47.96,3
0,RAYCASTING,ObjectCategory_5_Number_47,47.96,50.62,26
0,RAYCASTING,ObjectCategory_9_Number_6,50.62,52.56,3
0,RAYCASTING,ObjectCategory_0_Number_61,52.56,53.5,6
0,RAYCASTING,ObjectCategory_3_Number_104,53.5,72.76,32
0,RAYCASTING,ObjectCategory_5_Number_115,72.76,76.8,11
0,RAYCASTING,ObjectCategory_7_Number_72,76.8,87.28,16
0,RAYCASTING,ObjectCategory_5_Number_44,87.28,93.6,2
0,RAYCASTING,ObjectCategory_8_Number_57,93.6,103.2,7
0,RAYCASTING,ObjectCategory_3_Number_104,103.2,115.88,9
0,RAYCASTING,ObjectCategory_2_Number_65,115.88,117.26,14
0,RAYCASTING,ObjectCategory_0_Number_76,117.26,118.48,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.64,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.64,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.64,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.64,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.64,7
userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
0,RAYCASTING,ObjectCategory_1_Number_9,2.055856,15.72,9
0,RAYCASTING,ObjectCategory_9_Number_17,15.72,17.44,1
0,RAYCASTING,ObjectCategory_4_Number_30,17.44,19.74,6
0,RAYCASTING,ObjectCategory_5_Number_83,19.74,20.98,7
0,RAYCASTING,ObjectCategory_6_Number_48,20.98,26.22,8
0,RAYCASTING,ObjectCategory_4_Number_35,26.22,29.94,9
0,RAYCASTING,ObjectCategory_2_Number_67,29.94,46.7,39
0,RAYCASTING,ObjectCategory_2_Number_27,46.7,47.96,3
0,RAYCASTING,ObjectCategory_5_Number_47,47.96,50.62,26
0,RAYCASTING,ObjectCategory_9_Number_6,50.62,52.56,3
0,RAYCASTING,ObjectCategory_0_Number_61,52.56,53.5,6
0,RAYCASTING,ObjectCategory_3_Number_104,53.5,72.76,32
0,RAYCASTING,ObjectCategory_5_Number_115,72.76,76.8,11
0,RAYCASTING,ObjectCategory_7_Number_72,76.8,87.28,16
0,RAYCASTING,ObjectCategory_5_Number_44,87.28,93.6,2
0,RAYCASTING,ObjectCategory_8_Number_57,93.6,103.2,7
0,RAYCASTING,ObjectCategory_3_Number_104,103.2,115.88,9
0,RAYCASTING,ObjectCategory_2_Number_65,115.88,117.26,14
0,RAYCASTING,ObjectCategory_0_Number_76,117.26,118.48,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.66,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.66,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.66,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.66,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.66,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.66,7
userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
0,RAYCASTING,ObjectCategory_1_Number_9,2.055856,15.72,9
0,RAYCASTING,ObjectCategory_9_Number_17,15.72,17.44,1
0,RAYCASTING,ObjectCategory_4_Number_30,17.44,19.74,6
0,RAYCASTING,ObjectCategory_5_Number_83,19.74,20.98,7
0,RAYCASTING,ObjectCategory_6_Number_48,20.98,26.22,8
0,RAYCASTING,ObjectCategory_4_Number_35,26.22,29.94,9
0,RAYCASTING,ObjectCategory_2_Number_67,29.94,46.7,39
0,RAYCASTING,ObjectCategory_2_Number_27,46.7,47.96,3
0,RAYCASTING,ObjectCategory_5_Number_47,47.96,50.62,26
0,RAYCASTING,ObjectCategory_9_Number_6,50.62,52.56,3
0,RAYCASTING,ObjectCategory_0_Number_61,52.56,53.5,6
0,RAYCASTING,ObjectCategory_3_Number_104,53.5,72.76,32
0,RAYCASTING,ObjectCategory_5_Number_115,72.76,76.8,11
0,RAYCASTING,ObjectCategory_7_Number_72,76.8,87.28,16
0,RAYCASTING,ObjectCategory_5_Number_44,87.28,93.6,2
0,RAYCASTING,ObjectCategory_8_Number_57,93.6,103.2,7
0,RAYCASTING,ObjectCategory_3_Number_104,103.2,115.88,9
0,RAYCASTING,ObjectCategory_2_Number_65,115.88,117.26,14
0,RAYCASTING,ObjectCategory_0_Number_76,117.26,118.48,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.68,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.68,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.68,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.68,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.68,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.68,7
0,RAYCASTING,ObjectCategory_2_Number_65,118.48,120.68,7
